QA output created by 816
Fri Aug  7 07:21:15	3075784.000	196906.000	397814592.000	266.000	0.200	0.333	0.000	0.000	0.000	0.000	0.000	0.000	13425280.000	1.000	3.000
Fri Aug  7 07:21:30	3011544.000	196906.000	397783928.000	267.000	0.133	0.133	1306.933	1451.533	1451.533	0.000	0.000	0.000	13425280.000	1.000	3.000
Fri Aug  7 07:21:45	3011544.000	196906.000	397783928.000	267.000	0.133	0.133	2053.333	2280.600	2280.600	0.000	0.000	0.000	13425280.000	1.000	3.000
Fri Aug  7 07:22:00	3011544.000	196906.000	397783928.000	267.000	0.267	0.200	2053.333	2280.600	2280.600	0.000	0.000	0.000	13425280.000	1.000	3.000
Fri Aug  7 07:22:15	3011544.000	196906.000	397783928.000	268.000	0.133	0.133	2053.333	2280.600	2280.600	0.000	0.000	0.000	13425280.000	1.000	3.000
Fri Aug  7 07:22:30	3019836.000	196906.000	397720104.000	268.000	0.200	0.200	746.400	829.000	829.000	0.000	0.000	0.000	13501048.000	3.000	3.000
Fri Aug  7 07:22:45	3019836.000	196906.000	397720104.000	268.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	13501048.000	3.000	3.000
Fri Aug  7 07:23:00	3019836.000	196906.000	397720104.000	268.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	13501048.000	3.000	3.000
Fri Aug  7 07:23:15	3019836.000	196906.000	397720104.000	268.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13501048.000	3.000	3.000
Fri Aug  7 07:23:30	3027480.000	196906.000	397728792.000	268.000	0.267	0.200	0.000	0.000	0.000	0.000	0.000	0.000	13501048.000	3.000	3.000
Fri Aug  7 07:23:45	3027480.000	196906.000	397728792.000	269.000	0.267	0.267	0.000	0.000	0.000	0.000	0.000	0.000	13501048.000	3.000	3.000
Fri Aug  7 07:24:00	3027480.000	196906.000	397728792.000	269.000	0.200	0.200	0.000	0.000	0.000	0.000	0.000	0.000	13501048.000	3.000	3.000
Fri Aug  7 07:24:15	3027480.000	196906.000	397728792.000	269.000	0.200	0.200	0.000	0.000	0.000	0.000	0.000	0.000	13501048.000	3.000	3.000
Fri Aug  7 07:24:30	3035096.000	196906.000	397752468.000	269.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	13501048.000	3.000	3.000
Fri Aug  7 07:24:45	3035096.000	196906.000	397752468.000	269.000	0.267	0.200	0.000	0.000	0.000	0.000	0.000	0.000	13501048.000	3.000	3.000
