QA output created by 064

=== pcp-pidstat with -f formatting of the timestamps
Linux  4.4.0-31-generic  (ram-Lenovo)  08/05/16  x86_64    (4 CPU)
Timestamp                 UID	PID	usr	system	guest	%CPU	CPU	Command
Fri Aug  5 07:35:06 2016  1000	7417	?	?	?	?	2	chrome
Fri Aug  5 07:35:06 2016  1000	7425	?	?	?	?	0	chrome
Fri Aug  5 07:35:06 2016  33	7765	?	?	?	?	2	apache2
Fri Aug  5 07:35:06 2016  33	7766	?	?	?	?	1	apache2
Fri Aug  5 07:35:06 2016  0	8127	?	?	?	?	0	kworker/0:0
Fri Aug  5 07:35:06 2016  1000	8251	?	?	?	?	1	gnome-terminal-
Fri Aug  5 07:35:06 2016  1000	8258	?	?	?	?	1	bash
Fri Aug  5 07:35:06 2016  0	8480	?	?	?	?	0	kworker/0:1
Fri Aug  5 07:35:06 2016  1000	8649	?	?	?	?	2	make
Fri Aug  5 07:35:06 2016  1000	8652	?	?	?	?	2	sh
Fri Aug  5 07:35:06 2016  999	8712	?	?	?	?	3	pmlogger
Fri Aug  5 07:35:06 2016  1000	8800	?	?	?	?	3	python
Fri Aug  5 07:35:06 2016  0	8899	?	?	?	?	3	kworker/3:1
Fri Aug  5 07:35:06 2016  1000	8993	?	?	?	?	2	Makepkgs
Fri Aug  5 07:35:06 2016  0	9418	?	?	?	?	1	kworker/1:2
Fri Aug  5 07:35:06 2016  1000	11682	?	?	?	?	1	chrome
Fri Aug  5 07:35:06 2016  1000	13421	?	?	?	?	3	pmlogger
Fri Aug  5 07:35:06 2016  1000	14017	?	?	?	?	0	Makepkgs
Fri Aug  5 07:35:06 2016  1000	14018	?	?	?	?	0	dpkg-buildpacka
Fri Aug  5 07:35:06 2016  0	17377	?	?	?	?	2	kworker/2:1
Fri Aug  5 07:35:06 2016  1000	17406	?	?	?	?	0	bash
Fri Aug  5 07:35:06 2016  1000	17478	?	?	?	?	0	gvfsd-network
Fri Aug  5 07:35:06 2016  1000	17540	?	?	?	?	2	gvfsd-dnssd
Fri Aug  5 07:35:06 2016  0	26814	?	?	?	?	3	kworker/3:2
Fri Aug  5 07:35:06 2016  1000	27306	?	?	?	?	0	gedit
Fri Aug  5 07:35:06 2016  0	28174	?	?	?	?	1	kworker/1:1
Fri Aug  5 07:35:06 2016  0	28527	?	?	?	?	1	kworker/u16:0
Fri Aug  5 07:35:06 2016  1000	29539	?	?	?	?	1	gvfsd-metadata
Fri Aug  5 07:35:06 2016  0	30540	?	?	?	?	0	kworker/0:2
Fri Aug  5 07:35:06 2016  0	31200	?	?	?	?	2	kworker/2:0
Fri Aug  5 07:35:06 2016  1000	32349	?	?	?	?	0	fakeroot
Fri Aug  5 07:35:06 2016  1000	32357	?	?	?	?	2	faked-sysv
Fri Aug  5 07:35:06 2016  1000	32364	?	?	?	?	2	rules
Timestamp                 UID	PID	usr	system	guest	%CPU	CPU	Command
Fri Aug  5 07:35:07 2016  0	1	0.0	0.0	0.0	0.0	0	systemd
Fri Aug  5 07:35:07 2016  0	2	0.0	0.0	0.0	0.0	3	kthreadd
Fri Aug  5 07:35:07 2016  0	3	0.0	0.0	0.0	0.0	0	ksoftirqd/0
Fri Aug  5 07:35:07 2016  0	5	0.0	0.0	0.0	0.0	0	kworker/0:0H
Fri Aug  5 07:35:07 2016  0	7	0.0	0.0	0.0	0.0	2	rcu_sched
Fri Aug  5 07:35:07 2016  0	8	0.0	0.0	0.0	0.0	0	rcu_bh
Fri Aug  5 07:35:07 2016  0	9	0.0	0.0	0.0	0.0	0	migration/0
Fri Aug  5 07:35:07 2016  0	10	0.0	0.0	0.0	0.0	0	watchdog/0
Fri Aug  5 07:35:07 2016  0	11	0.0	0.0	0.0	0.0	1	watchdog/1
Fri Aug  5 07:35:07 2016  0	12	0.0	0.0	0.0	0.0	1	migration/1
Fri Aug  5 07:35:07 2016  0	13	0.0	0.0	0.0	0.0	1	ksoftirqd/1
Fri Aug  5 07:35:07 2016  0	14	0.0	0.0	0.0	0.0	1	kworker/1:0
Fri Aug  5 07:35:07 2016  0	15	0.0	0.0	0.0	0.0	1	kworker/1:0H
Fri Aug  5 07:35:07 2016  0	16	0.0	0.0	0.0	0.0	2	watchdog/2
Fri Aug  5 07:35:07 2016  0	17	0.0	1.0	0.0	1.0	2	migration/2
Fri Aug  5 07:35:07 2016  0	18	0.0	0.0	0.0	0.0	2	ksoftirqd/2
Fri Aug  5 07:35:07 2016  0	20	0.0	0.0	0.0	0.0	2	kworker/2:0H
Fri Aug  5 07:35:07 2016  0	21	0.0	0.0	0.0	0.0	3	watchdog/3
Fri Aug  5 07:35:07 2016  0	22	0.0	0.0	0.0	0.0	3	migration/3
Fri Aug  5 07:35:07 2016  0	23	0.0	0.0	0.0	0.0	3	ksoftirqd/3
Fri Aug  5 07:35:07 2016  0	24	0.0	0.0	0.0	0.0	3	kworker/3:0
Fri Aug  5 07:35:07 2016  0	25	0.0	0.0	0.0	0.0	3	kworker/3:0H
Fri Aug  5 07:35:07 2016  0	26	0.0	0.0	0.0	0.0	0	kdevtmpfs
Fri Aug  5 07:35:07 2016  0	27	0.0	0.0	0.0	0.0	1	netns
Fri Aug  5 07:35:07 2016  0	28	0.0	0.0	0.0	0.0	1	perf
Fri Aug  5 07:35:07 2016  0	29	0.0	0.0	0.0	0.0	1	khungtaskd
Fri Aug  5 07:35:07 2016  0	30	0.0	0.0	0.0	0.0	1	writeback
Fri Aug  5 07:35:07 2016  0	31	0.0	0.0	0.0	0.0	1	ksmd
Fri Aug  5 07:35:07 2016  0	32	0.0	0.0	0.0	0.0	3	khugepaged
Fri Aug  5 07:35:07 2016  0	33	0.0	0.0	0.0	0.0	2	crypto
Fri Aug  5 07:35:07 2016  0	34	0.0	0.0	0.0	0.0	2	kintegrityd
Fri Aug  5 07:35:07 2016  0	35	0.0	0.0	0.0	0.0	2	bioset
Fri Aug  5 07:35:07 2016  0	36	0.0	0.0	0.0	0.0	2	kblockd
Fri Aug  5 07:35:07 2016  0	37	0.0	0.0	0.0	0.0	2	ata_sff
Fri Aug  5 07:35:07 2016  0	38	0.0	0.0	0.0	0.0	2	md
Fri Aug  5 07:35:07 2016  0	39	0.0	0.0	0.0	0.0	3	devfreq_wq
Fri Aug  5 07:35:07 2016  0	45	0.0	0.0	0.0	0.0	2	kswapd0
Fri Aug  5 07:35:07 2016  0	46	0.0	0.0	0.0	0.0	3	vmstat
